iter	Passed	Remaining
0	13	13062
1	25	12594
2	39	13051
3	52	13034
4	64	12763
5	76	12604
6	89	12631
7	101	12605
8	113	12542
9	125	12448
10	138	12414
11	150	12363
12	162	12331
13	174	12270
14	186	12237
15	198	12231
16	210	12175
17	222	12141
18	235	12139
19	246	12099
20	258	12072
21	271	12077
22	284	12081
23	296	12057
24	308	12023
25	319	11987
26	331	11934
27	342	11893
28	354	11882
29	366	11843
30	378	11816
31	390	11813
32	401	11778
33	413	11743
34	424	11717
35	436	11691
36	448	11660
37	459	11626
38	471	11611
39	483	11597
40	494	11555
41	504	11497
42	515	11469
43	526	11449
44	539	11439
45	549	11399
46	560	11356
47	570	11314
48	581	11280
49	593	11274
50	604	11254
51	615	11212
52	625	11177
53	636	11145
54	646	11111
55	657	11085
56	668	11063
57	679	11034
58	686	10948
59	697	10925
60	707	10896
61	718	10871
62	728	10836
63	739	10815
64	750	10790
65	760	10760
66	772	10754
67	782	10730
68	794	10714
69	805	10696
70	815	10673
71	825	10645
72	836	10617
73	846	10590
74	856	10569
75	867	10550
76	879	10537
77	889	10509
78	899	10489
79	910	10473
80	920	10448
81	932	10442
82	943	10428
83	954	10406
84	964	10385
85	975	10364
86	985	10347
87	997	10333
88	1008	10322
89	1018	10300
90	1029	10280
91	1040	10272
92	1051	10254
93	1061	10233
94	1072	10214
95	1082	10196
96	1093	10177
97	1103	10159
98	1115	10150
99	1125	10127
100	1136	10113
101	1147	10106
102	1158	10089
103	1169	10079
104	1180	10062
105	1191	10052
106	1202	10038
107	1214	10028
108	1224	10011
109	1235	9992
110	1245	9971
111	1255	9955
112	1266	9940
113	1277	9926
114	1285	9894
115	1296	9880
116	1307	9868
117	1318	9853
118	1328	9838
119	1338	9818
120	1349	9804
121	1360	9788
122	1370	9773
123	1383	9773
124	1394	9761
125	1405	9749
126	1415	9733
127	1426	9718
128	1437	9705
129	1448	9694
130	1458	9677
131	1469	9663
132	1479	9647
133	1490	9633
134	1502	9627
135	1513	9612
136	1524	9600
137	1534	9587
138	1545	9572
139	1555	9556
140	1566	9541
141	1576	9525
142	1586	9508
143	1597	9498
144	1608	9484
145	1619	9471
146	1629	9457
147	1641	9448
148	1651	9431
149	1661	9416
150	1672	9401
151	1681	9383
152	1692	9371
153	1703	9357
154	1713	9340
155	1723	9325
156	1734	9313
157	1745	9302
158	1755	9288
159	1766	9274
160	1777	9260
161	1787	9248
162	1798	9234
163	1808	9219
164	1819	9205
165	1829	9189
166	1840	9180
167	1850	9165
168	1861	9153
169	1872	9144
170	1883	9130
171	1894	9117
172	1904	9105
173	1915	9092
174	1926	9080
175	1936	9066
176	1946	9052
177	1957	9038
178	1967	9025
179	1978	9012
180	1989	9001
181	2001	8995
182	2011	8981
183	2022	8968
184	2032	8953
185	2043	8942
186	2053	8927
187	2064	8916
188	2074	8903
189	2085	8889
190	2095	8877
191	2106	8864
192	2116	8849
193	2127	8837
194	2137	8823
195	2147	8808
196	2156	8792
197	2167	8780
198	2179	8772
199	2190	8761
200	2201	8749
201	2212	8738
202	2222	8727
203	2233	8715
204	2243	8702
205	2252	8681
206	2264	8674
207	2275	8665
208	2284	8645
209	2295	8634
210	2305	8622
211	2315	8608
212	2325	8593
213	2336	8580
214	2346	8566
215	2356	8554
216	2367	8541
217	2378	8532
218	2390	8523
219	2402	8517
220	2412	8505
221	2423	8491
222	2433	8479
223	2443	8466
224	2454	8453
225	2464	8441
226	2475	8431
227	2485	8417
228	2496	8405
229	2506	8392
230	2517	8380
231	2528	8368
232	2538	8355
233	2548	8343
234	2558	8330
235	2568	8316
236	2578	8302
237	2588	8288
238	2599	8275
239	2609	8262
240	2619	8248
241	2629	8235
242	2639	8222
243	2650	8212
244	2661	8202
245	2672	8190
246	2682	8177
247	2692	8165
248	2702	8151
249	2712	8138
250	2722	8124
251	2732	8111
252	2742	8098
253	2752	8085
254	2763	8072
255	2773	8059
256	2784	8050
257	2794	8037
258	2805	8026
259	2815	8013
260	2825	8000
261	2835	7987
262	2846	7976
263	2856	7963
264	2866	7949
265	2877	7941
266	2887	7927
267	2897	7915
268	2908	7903
269	2918	7890
270	2928	7876
271	2939	7868
272	2949	7854
273	2959	7842
274	2970	7830
275	2980	7817
276	2990	7804
277	3000	7792
278	3010	7780
279	3021	7770
280	3031	7757
281	3041	7744
282	3052	7734
283	3062	7721
284	3072	7708
285	3082	7695
286	3092	7683
287	3103	7672
288	3113	7659
289	3124	7650
290	3135	7638
291	3144	7625
292	3155	7613
293	3165	7600
294	3175	7587
295	3185	7575
296	3195	7563
297	3207	7555
298	3218	7546
299	3229	7535
300	3241	7526
301	3252	7517
302	3262	7504
303	3272	7492
304	3282	7480
305	3292	7468
306	3303	7456
307	3313	7444
308	3323	7432
309	3334	7421
310	3344	7409
311	3354	7396
312	3364	7385
313	3375	7373
314	3386	7363
315	3396	7351
316	3407	7342
317	3417	7329
318	3427	7317
319	3437	7305
320	3447	7293
321	3457	7280
322	3468	7270
323	3478	7258
324	3488	7246
325	3499	7235
326	3509	7223
327	3519	7211
328	3530	7199
329	3540	7188
330	3550	7176
331	3560	7164
332	3570	7152
333	3581	7141
334	3591	7129
335	3601	7117
336	3611	7105
337	3621	7093
338	3631	7081
339	3641	7069
340	3651	7056
341	3661	7044
342	3672	7033
343	3682	7021
344	3692	7010
345	3703	7000
346	3713	6988
347	3724	6978
348	3734	6965
349	3744	6953
350	3754	6942
351	3764	6930
352	3774	6918
353	3784	6906
354	3794	6894
355	3805	6883
356	3815	6872
357	3825	6860
358	3835	6848
359	3847	6840
360	3858	6829
361	3868	6817
362	3878	6806
363	3889	6796
364	3899	6784
365	3910	6773
366	3920	6761
367	3930	6750
368	3940	6738
369	3950	6726
370	3960	6714
371	3970	6702
372	3980	6691
373	3990	6679
374	4001	6668
375	4011	6657
376	4021	6645
377	4031	6634
378	4041	6622
379	4051	6611
380	4062	6599
381	4072	6588
382	4082	6576
383	4092	6564
384	4103	6555
385	4113	6543
386	4124	6532
387	4134	6521
388	4145	6511
389	4155	6499
390	4166	6488
391	4176	6477
392	4186	6466
393	4197	6455
394	4206	6443
395	4216	6431
396	4226	6420
397	4237	6409
398	4247	6397
399	4258	6387
400	4268	6375
401	4279	6366
402	4289	6354
403	4299	6342
404	4309	6330
405	4319	6319
406	4329	6308
407	4339	6296
408	4349	6284
409	4359	6274
410	4370	6262
411	4379	6251
412	4390	6239
413	4400	6228
414	4410	6217
415	4420	6206
416	4430	6194
417	4442	6185
418	4452	6173
419	4462	6162
420	4471	6150
421	4482	6138
422	4491	6127
423	4503	6118
424	4513	6106
425	4523	6095
426	4533	6083
427	4545	6074
428	4555	6062
429	4564	6050
430	4575	6041
431	4587	6031
432	4597	6020
433	4607	6009
434	4618	5998
435	4627	5986
436	4638	5975
437	4649	5965
438	4659	5954
439	4669	5942
440	4680	5932
441	4689	5920
442	4700	5909
443	4709	5897
444	4720	5887
445	4730	5875
446	4740	5864
447	4751	5853
448	4761	5842
449	4771	5831
450	4782	5821
451	4794	5812
452	4804	5800
453	4814	5790
454	4824	5779
455	4836	5769
456	4847	5759
457	4857	5748
458	4867	5737
459	4877	5726
460	4888	5715
461	4900	5706
462	4910	5695
463	4920	5684
464	4930	5673
465	4942	5663
466	4952	5652
467	4962	5640
468	4972	5629
469	4981	5617
470	4991	5606
471	5001	5595
472	5012	5584
473	5022	5573
474	5032	5562
475	5042	5551
476	5052	5539
477	5063	5529
478	5073	5518
479	5084	5508
480	5094	5496
481	5104	5485
482	5114	5474
483	5124	5463
484	5136	5454
